Time (s),Ground Truth (N),Jacobian Estimate (N),In Contact
5.959999999999566,59.399277600262984,59.40088740079261,1
5.979999999999563,59.379131483329864,59.38074728826871,1
5.999999999999561,59.389917736410915,59.39153539451126,1
6.019999999999559,58.53558991139353,58.53688518383771,1
6.039999999999557,58.851666024579046,58.85271485665754,1
6.059999999999555,58.91099395649537,58.91184177559723,1
6.079999999999552,58.89742866688247,58.89811695456733,1
6.09999999999955,58.87341079037573,58.87397179798432,1
6.119999999999548,58.854406538152325,58.85486493624391,1
6.139999999999546,58.84153024065603,58.8419052645021,1
6.159999999999544,58.83285830081639,58.83316526349473,1
6.179999999999541,58.82658875732326,58.82684002343267,1
6.199999999999539,58.821563269666626,58.821768902358265,1
6.219999999999537,58.817127803951486,58.817296025489725,1
6.239999999999535,58.81292830023161,58.81306584078427,1
6.259999999999533,58.80877028260783,58.8088826552899,1
6.27999999999953,58.804541097791834,58.80463282030254,1
6.299999999999528,58.80017116636643,58.80024594140212,1
6.319999999999526,58.79561558421101,58.795676446933534,1
6.339999999999524,58.790845282082884,58.790894720837386,1
6.359999999999522,58.78584238347129,58.78588243864275,1
6.379999999999519,58.78059736496477,58.780629709933756,1
6.399999999999517,58.775107037373104,58.7751330448063,1
6.419999999999515,58.76937297254051,58.76939376867127,1
6.439999999999513,58.76340023527404,58.76341674434971,1
6.459999999999511,58.757196359902615,58.75720934058272,1
6.479999999999508,58.750770534490854,58.750780609657866,1
6.499999999999506,58.744132961550264,58.74414064272967,1
6.519999999999504,58.73729436627917,58.737300073646736,1
6.539999999999502,58.73026562582663,58.7302697046048,1
6.5599999999995,58.723057496022875,58.723060229919675,1
6.579999999999497,58.71568041553893,58.715682037766676,1
6.599999999999495,58.708144370694214,58.7081450730049,1
6.619999999999493,58.70045880720411,58.700458747300765,1
6.639999999999491,58.69263257788097,58.6926318854975,1
6.6599999999994886,58.68467391739436,58.684672699285215,1
6.679999999999486,58.67659043716488,58.67658878120001,1
6.699999999999484,58.66838913491174,58.66838711343827,1
6.719999999999482,58.660076414547724,58.66007408715013,1
6.73999999999948,58.65209971235034,58.65209716744675,1
6.7599999999994775,58.6457903221097,58.64578765552821,1
6.779999999999475,58.639716881121515,58.63971410033721,1
6.799999999999473,58.63472552570198,58.63472256351077,1
6.819999999999471,58.64003035308566,58.640027877094624,1
6.839999999999469,58.62497328105614,58.624969383928786,1
6.8599999999994665,58.62056896827393,58.620564740907085,1
6.879999999999464,58.63316581455468,58.63316356942618,1
6.899999999999462,58.61883951454425,58.618836151292484,1
6.91999999999946,58.62059264516425,58.62058997210099,1
